,uuid,ord_in_thread,author,published,language,crawled,site_url,country,domain_rank,spam_score,main_img_url,replies_count,participants_count,likes,comments,shares,type
1,6a175f46bcd24d39b3e962ad0f29936721db70db,0,Barracuda Brigade,10/26/2016 18:41,english,10/26/2016 22:49,100percentfedup.com,US,25689,0,http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10262016-83501-AM.bmp.jpg,0,1,0,0,0,bias
2,2bdc29d12605ef9cf3f09f9875040a7113be5d5b,0,reasoning with facts,10/29/2016 5:47,english,10/29/2016 5:47,100percentfedup.com,US,25689,0,http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10282016-102616-PM.bmp.jpg,0,1,0,0,0,bias
3,c70e149fdd53de5e61c29281100b9de0ed268bc3,0,Barracuda Brigade,10/30/2016 23:41,english,10/30/2016 23:41,100percentfedup.com,US,25689,0,http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10302016-60437-PM.bmp.jpg,0,1,0,0,0,bias
4,7cf7c15731ac2a116dd7f629bd57ea468ed70284,0,Fed Up,11/1/2016 3:22,english,11/1/2016 13:46,100percentfedup.com,US,25689,0.068,http://100percentfedup.com/wp-content/uploads/2016/10/kayla.jpg,0,0,0,0,0,bias
5,0206b54719c7e241ffe0ad4315b808290dbe6c0f,0,Fed Up,11/1/2016 19:56,english,11/1/2016 21:59,100percentfedup.com,US,25689,0.865,http://100percentfedup.com/wp-content/uploads/2016/11/obamacare-sites-404-970x0.jpg,0,0,0,0,0,bias
6,8f30f5ea14c9d5914a9fe4f55ab2581772af4c31,0,Barracuda Brigade,11/2/2016 14:31,english,11/2/2016 14:31,100percentfedup.com,US,25689,0,http://bb4sp.com/wp-content/uploads/2016/11/Fullscreen-capture-1122016-74311-AM.bmp.jpg,0,1,0,0,0,bias
7,d3cc0fe38f41a59f7c48f8c3528ca5f74193148f,0,Fed Up,11/4/2016 17:40,english,11/5/2016 0:13,100percentfedup.com,US,25689,0.701,http://100percentfedup.com/wp-content/uploads/2016/11/hillary-looking-down.jpg,0,0,0,0,0,bias
8,b4bbf8b5c19e8864f5257832a58b81ef4ed2d4e4,0,Fed Up,11/4/2016 23:19,english,11/5/2016 3:59,100percentfedup.com,US,25689,0.188,http://100percentfedup.com/wp-content/uploads/2016/11/snipes-dem.jpg,0,0,0,0,0,bias
9,a19aabaa5a61eb8bc22fadaaa003e5fbba5c4bf6,0,Fed Up,11/6/2016 21:54,english,11/7/2016 8:20,100percentfedup.com,US,25689,0.144,http://100percentfedup.com/wp-content/uploads/2016/05/hillary-comey.jpg,0,0,0,0,0,bias
10,f54d8e13010d0a79893995ee65360ad4b38b5a35,0,Fed Up,11/7/2016 0:43,english,11/7/2016 8:20,100percentfedup.com,US,25689,0.995,http://100percentfedup.com/wp-content/uploads/2016/11/TRUCK-TORCHED-HILLARY.jpg,0,0,0,0,0,bias
